onset_seconds,speaker_id,text
316.0,3,"aí aproveitando só para fechar o Segue o zero não tá aqui para falar a parte dele, mas A gente teve no momento antes de ir embora aí no final da semana. A gente teve um A ideia meio que partiu do Zé e a gente foi discutindo e começando aprimorar. A ideia de de repente atender caminhões elétricos que façam para as montadoras, né? Porque eles têm [UNRESOLVED_ENTITY] pré-definida e caminhão caminhão, não pode ficar parado quer dinheiro parado, né então. Em que momento esses caminhões poderiam recarregar enquanto eles estão sendo carregado de peça nos fornecedores."
359.0,3,"Então, a gente tá pensando em partir para algo nesse sentido para pesados. ter veículo para atender os caminhões que estão fazendo esse serviço aí de Também é uma algo que a gente pode. discutir"
380.0,2,"A [PARTNER_A] já tem um né? Vocês tinham dito, né?"
383.0,3,"Tem um protótipo, né? O [UNRESOLVED_ENTITY] né o Mateus que ele tá rodando pegando peça do [UNRESOLVED_ENTITY] em [UNRESOLVED_ENTITY], né e trazendo para [LOCATION_C] certo."
392.0,1,"Sim é isso mesmo, já tá no radar falar com ele também."
416.0,3,"bom seguindo a agenda agora a gente vai falar de A gente ainda não desmembrou aqui o [UNRESOLVED_ENTITY] precisa colocar a da semana passada e o dessa mas honestamente é. Eu não vejo aqui nenhum ponto que a gente possa ter. subido talvez aí a parte de A parte de tecnologia a gente já tinha subido por três, né, Mateus? Só não tá documentado aqui, então não vejo realmente nada no scorecard que tenha."
475.0,2,É o costume vocês fizeram MVP.
478.0,3,"É esse MVP [PERSON_A] que a gente fez a gente aproveitou para testar a operação. E a gente entrevistou conversou com os proprietários. Lá eles tiveram e com o suficiente. Mas a gente não fez a cobrança fake a gente primeiro que entrevistá-los entender ver se aquele preço fazer sentido, mas ainda cai um pouco naquela subjetividade do você pagaria o cara vai falar pagaria, né? Então qualquer ideia."
511.0,2,"Mas é uma primeira evidência fraca, mas é uma evidência."
517.0,3,"Sim e a gente a gente construiu um relacionamento muito positivo com esse suficiente. Ele lá eles têm um suficiente com por torre porque o condomínio é bem grande, mas ele é o mais ativo do suficiente. Ele é um cara. Que compra as brigas que leva para o síndico e para administradora do condomínio. E o cara gostou da gente gostou da ideia? Ele quer fazer acontecer e já tá falando com a gente a cerca aí da gente agendar um próximo."
546.0,3,"E aí a ideia no próximo lá já fazer operação com cobrança. E para o da [CLIENT_A] que a gente vai discutir aí na sequência que houveram algumas. Pedras no caminho aí na semana passada e ficou realmente para o dia 20 de Janeiro. O da [CLIENT_A] e lá a ideia também é fazer cobrando desde o começo, mas quando a gente vai falar disso eu vou até querer. Colocar uma eixo a respeito e aí a gente fala com mais."
575.0,2,Coloca já então.
577.0,3,"Aí isso eu não sei se vocês concordam. O seguinte Ele eles levantaram para a gente que eles têm uma grande. Demanda lá no brasão bem mal que é o prédio onde Eles escolheram. Fazer o MVP. Só que lá no [UNRESOLVED_ENTITY] eles têm os carregadores. Fixos um tava fora de operação e eles tinham os outros dois que são são lentos, né? Não são rápidos. Mais De toda forma, eles têm o carregador lá se o carregador deles não tiver ocupado tiver."
623.0,3,"O cara que vai encostar lá para trabalhar o dia inteiro. Não vai pagar mais caro para fazer com a gente, porque o nosso é rápido."
631.0,2,"É mas ele pode ser que Eu ele tá lotado e ele precisa carregar, como é que faz?"
638.0,3,A nossa esperança é essa. Agora a nossa preocupação. É se tiver vago ou se o cara falar não eu posso esperar no período da tarde o cara Tira o carro dele aqui eu coloco o meu.
653.0,2,"Mas sempre vai existir a possibilidade do altar. Vocês estariam na curva pegando o finalzinho lá, né?"
665.0,3,"É na verdade a gente a posição que eles querem colocar a gente fisicamente lá em outro era um andar diferente, porque onde tem os carregadores fixos hoje, a gente precisa dentro dessa lixo, a gente vai ter que discutir como como divulgar isso da melhor forma. Para os clientes do estacionamento até para aqueles nos vejam para que seja atrativo. Para eles ver como que a nossa serviço etc."
697.0,3,Aí essa vai ser uma eixo boa também da gente. Discutir vamos fazer a Rock review. A primeira é fazer um estudo de viabilidade aquela parte estava com você o Zé. do estudo de viabilidade as
728.0,4,do estudo de viabilidade
729.0,3,possibilidades de MVP
731.0,4,Então é acho que dá para dizer que tá um Track. E você não tá concluído todos né? Mas táxi.
743.0,3,"Beleza a segunda parte aqui que tá comigo. Tá um track também. A gente tá discutindo aí todos os itens não passamos por todos igual o Zé falou mas tá caminhando tá? Consideramos um. Mateus viabilização do dos mvps carregadores parceiros E aí o item 4, né que é encontrar um ou mais MVP, né com tração de cliente e A modelagem de negócio viável também consideram track a gente até deu uma invertida, né que a gente começou pelo pelo Residencial que ela traz a gente tinha pensado isso como um ponto futuro e hoje a gente vê que é."
792.0,3,um que é uma demanda bem presente que a gente não pode deixar de atacar já temos agendado MVP com a com o brasão [UNRESOLVED_ENTITY] e vamos e temos hoje uma reunião para Para discutir a agenda do da TV Gazeta que a ideia é fazer um fim de semana de evento porque lá tem o teatro cinema. E também temos aí aquilo que a gente comentou superficialmente com contigo que é uma nova ideia aí para atender os pesados. E aí a discussão com a própria [PARTNER_A] e a lotes.
826.0,3,"Para tentar fazer um pilotinho aí com o herói que é esse veículo protótipo da [PARTNER_A], então também estamos um Track. é Essas duas aqui a gente tinha deixado para cima porque entendemos que não era né algo tão. Urgente o mas quer falar algo da visita dos bombeiros."
863.0,1,"Eu fiz um volante na semana passada, mas também mais uma vez sem retorno. A 2025 aí eu tenho uma estratégia diferente. Aí eu tinha até tentado falar com outros. Outros corpos de [UNRESOLVED_ENTITY] aqui na região, né, [UNRESOLVED_ENTITY], mas não foi eficaz. Esse é o que tá em mais próximo aí de conseguir uma visita, mas ao mesmo tempo mais longe que eles não responde."
888.0,3,é
889.0,2,"Provavelmente vocês estão se antecipando ao problema e o corpo de bombeiro não quer se antecipar, né?"
897.0,3,Não parece ser uma demanda urgente para eles não.
900.0,2,"Eles eles são reativos normalmente, né? Serviço público tal né? Então vão esperar os primeiros acidentes virar a imprensa e daí eles vão fazer uma Norma sabe? Talvez seja de vocês, até nem se preocupar em muito com isso agora. Quer dizer vocês se preocuparem, né? Mas vocês se preocupam não precisa ter a norma para você se preocupar com isso, né? Como é que é o acidente? O que que faz vocês também? Já podem identificando mas eu acho que Esse daí não adianta deixar muito mais para vocês aí. Eu [UNRESOLVED_ENTITY] fora."
941.0,2,"Ou substituiria por um outro que seria assim, vocês estudaram os problemas de segurança. Aí assim é vocês proativos, né?"
952.0,1,Pode ser?
953.0,3,Então vamos matar essa.
956.0,2,"E põe uma eixos nós estamos focado, mas a hora que for tiver tempo, né?"
975.0,3,Vou colocar isso e quando a gente for discutir ela a gente declara muito.
978.0,2,"Pode ser que ela fique aí semanas ou pode ser que vir mais urgente, daqui a pouco dependendo da conversa aí. pessoal Só para não dizer que vocês não estão preocupados com a segurança. Isso seria um crime. É isso aí"
1010.0,3,"bom A gente tinha falado também do [UNRESOLVED_ENTITY] aqui, mas como nós partimos aí para outras frentes conseguimos o brascão bemol com a [CLIENT_A] TV Gazeta com a [UNRESOLVED_ENTITY]. Parque fizemos o domo home. deixou de ser uma prioridade aqui o [UNRESOLVED_ENTITY] não teve eles não abraçaram a ideia nem o gerente do prédio nem a em parque que é o estacionamento então é algo que ficou no Limbo aqui também que [UNRESOLVED_ENTITY] deixou de ser uma prioridade para a gente."
1049.0,2,"E por enquanto vocês não vão mexer, né? Então eu Tiraria daí também, porque lembra é coisa para vocês olharem para resolver na semana na semana não tem mais sentido."
1066.0,3,"Beleza, aí, vamos descendo aqui a 28 Mateus que são vários tios aí relacionados ao mercado de pesado."
1080.0,1,"A gente tem a reunião agendada com a estelog, né o dia 13/02 com a diretora de [UNRESOLVED_ENTITY]. Com as concessionárias ainda está [UNRESOLVED_ENTITY] discussões. Dos pontos rodoviários a gente falou com grau na sexta-feira ou a gente vai falar com a raiz também. [UNRESOLVED_ENTITY] também tá agendado já para Janeiro. Enfim Falta só [UNRESOLVED_ENTITY] e Mc né que é o grupo frango assado vibra e artesp. Bastante tá caminhando."
1119.0,1,sim
1119.0,3,"Esse item 31 mapearam alguns condomínios para oferecer o serviço de carregamento a estratégia Inicial, [PERSON_A] é o a empresa que faz administração do domo home. Que chama innovate, eles querem nos colocar em mais um condomínio aqui em [LOCATION_C] residencial. E mais um com nome que é no bairro [UNRESOLVED_ENTITY] que é um bairro de alto poder aquisitivo aqui em [LOCATION_C]. E eles querem também nos colocar num condomínio corporativo que eles administram que também era uma rua comercial aqui pertinho da onde a gente tá."
1161.0,3,"Então, a gente já tem esses mapeados e a gente pensou também falar com lindinei porque ele falou que tem esse problema no condomínio dele e ele é síndico do condomínio dele. Então a gente tem esses mapeados, mas a ideia é mapear mais. Até porque a gente quer a gente tá viabilizando aí com a tecnologia. Durante o período agora de 2025 a partir a gente pretende ter a partir de meados de Janeiro, né? Vamos ver se vai."
1193.0,3,Acontecer a gente pretende ter locado o carro deles a nossa disposição para a gente poder fazer quantos mvps? A gente puder e sem ter essa questão aí de ter que aguardar a disponibilidade igual tá sendo com a plugin então uma vez que a gente aluga. O veículo da tecnologia era para ficar aí vai 40 dias 50 dias a nossa disposição. aí a ideia é ter um volume grande de Condomínios e passar mais tempo.
1225.0,3,"Porque eu tô te falando do que pensando aqui, né?"
1230.0,2,"eu acho que se vocês eu ia até dizer acho que vocês estão próximo daí show de Se preocupar com a infraestrutura, né as oportunidades estão surgindo e elas estão vingando, né? Então logo logo vocês têm que resolver o problema dos parceiros aí né?"
1248.0,3,"sim, eu"
1249.0,2,"É vocês não terem o carregador, né?"
1253.0,3,"Eu gostaria de deixar seu do aberta ainda porque eu quero ter retorno de data da eu fiz o falou up com o pessoal da inovate, mas eu quero ter eles pediram para a gente fazer reunião agora no começo do ano. provavelmente essas reuniões vão ficar para semana dois ou semana três Pelas conversas prévias, mas eu gostaria de ter uma agenda mesmo com Eles para falar que a gente tem um mapa mais robusto, né com reunião marcada e etc."
1288.0,2,"é você sabe que [UNRESOLVED_ENTITY] que o nosso prazo aqui é [UNRESOLVED_ENTITY]. Na verdade vocês tinham que resolver o problema assim. Teoricamente tô chutando aqui só para uma questão para vocês pensarem aí, né. Talvez fevereiro e março vocês terem equipamento para fazer vários para fazer uma operação de 60 dias, sabe?"
1319.0,3,é a gente acredita que
1321.0,2,"Porque daí vocês teriam 15 dias ali em abril meio para dizer bem assim agora suspendemos MVP tem análise, né?"
1330.0,3,"Até para preparar com pegar esses dados e tratá-los para ter um bom Beat, né?"
1334.0,2,"Então, vocês podiam combinar com eles com todos, né? Tentar o máximo de infraestrutura que vocês conseguirem ali de carregadores para operar a partir de [UNRESOLVED_ENTITY] e fevereiro já tá aí, né? Porque o problema é esse é o nosso calendário corre né? Dezembro praticamente não tem mais Janeiro é um mês complicado, né de vocês fazerem acertos, mas vão ter que correr em Janeiro com isso."
1360.0,3,"a gente acredita que Pela conversa que a gente teve que a tecnologia eram Mateus tá me corrige se tiver falando alguma besteira Mateus. Pelas conversas com a tecnologia era a gente acredita que tá muito perto aí são mais que resolver questões burocráticas agora para a gente ter essa disponibilidade de local veículo para esse período, né."
1383.0,2,e um veículo
1385.0,1,"É um veículo, mas assim daria para a gente colocar mais de um."
1388.0,2,Tem possibilidade de fazer dois?
1390.0,1,"Um não tem ele só tem um veículo. A gente teria que pegar um da [UNRESOLVED_ENTITY] que ele já falaram que aluga para gente né? E o outro veículo da plugin que eles são reativos quanto aluguel, né? Eles conseguem passar participar da gente de teste e tudo mais mas alugar."
1407.0,2,Vamos anotar essa Exu aí vocês conseguirem? Dois dois carregadores no mínimo né? Para fevereiro e março.
1418.0,1,A gente vai conseguir um veículo da
1419.0,3,Eu coloquei aí Isso aqui na
1420.0,1,"[UNRESOLVED_ENTITY], mas nesse veículo a gente consegue colocar dois carregadores, entendeu? Só que é um banco de baterias com duas saídas para carregar, isso dá para fazer."
1432.0,2,"É, mas bem é que você tiver mais um veículo é bom melhor, né? e até para ver se viabiliza um negócio com outro parceiro de outra maneira, tem que Tem que tentar eu diria assim é lógico que esse seria ótimo. Viabilizando um tá bom, né? Mas [UNRESOLVED_ENTITY]. Não quer por uma eixo lá e daí a gente discute."
1464.0,3,viabilizar dois veículos para MVP.
1467.0,2,Põe aí a gente discute não.
1474.0,3,"Agora tem essa pequena listinha aqui o plano de marketing a gente não fez né? Não tá com plano de marketing feito, só geramos alguns conteúdos, a gente precisa planejar. Tem que fazer essa questão lá do scorecard também não tá feita a nova reunião com a [UNRESOLVED_ENTITY]."
1495.0,1,"Isso também não ficou como uma prioridade no momento, né? Vai ficar só para mim que vem aí depois que a gente terminar as conversas com o pessoal de pesados aqui do [LOCATION_A]."
1504.0,3,que o ENEM
1509.0,4,Drone Já mandei lá para LC só falta a resposta deles.
1512.0,3,Vamos meter um follow naquele cara
1513.0,4,Eu vou mandar um e-mail de colocar
1514.0,3,lá.
1517.0,4,hoje para perguntando se eles viram.
1523.0,3,"É [UNRESOLVED_ENTITY] reunião com a 99 e a Uber para pedir a lista de motoristas Uber a gente está com bastante dificuldade para conseguir falar com corporativo. A minha esposa faz parte de alguns grupos com muita gente do desse mundo corporativo de [LOCATION_B], ela disparou lá uma mensagem na sexta-feira para ver se ela consegue algum contato para mim com a 99. Eu falei com a [UNRESOLVED_ENTITY] novamente e ela pediu para a gente falar agora no começo do ano com ela."
1550.0,3,"Que agora ela não conseguiria resolver nada foi na sexta-feira não tá fechada. A gente tá um track, mas não tá fechado. A 38 é objetivos de pesquisa visando modelar a proposta para aplicativos."
1569.0,4,"Fizemos. Inclusive a gente fez né na última reunião aí junto com o [PERSON_A]. E eu já fiz o forms lá, eu até mandei no nosso grupo, né?"
1584.0,3,[UNRESOLVED_ENTITY] reunião de pauta com a quatro rodas e [UNRESOLVED_ENTITY].
1592.0,4,Tá feito também tá para dia 9 se eu não me engano.
1601.0,3,Buscar informações a respeito do tamanho de mercado de combustíveis fósseis.
1607.0,4,"Feito também. Inclusive eu não sei se eles tiveram a comentar mas envolve até o próximo tópico aí do teu Sansão. Que aí eu peguei esses dados já tanto dado de combustíveis quanto de número de veículos em circulação elétricos. Para ter os dois, inclusive os dois tamanhos de mercado estimado deram bem parecidos do que foi bom, porque acho que quer dizer que faz sentido o número. E só que na hora da transformação"
1637.0,3,aí
1641.0,4,"bateu uma dúvida aí de o que seria o sangue e o som porque tem o tamanho de mercado [LOCATION_A], né? Que é. Em função da quantidade de gasolina e Álcool sendo comercializado e em função do número de veículos elétricos em circulação. Mas a gente não sabe pô, tá ter o [LOCATION_A]. Aí será que a gente o [UNRESOLVED_ENTITY] seria o número em [LOCATION_B], né a porcentagem em [LOCATION_B], será que seria? E aí o som a cidade de [LOCATION_B] ou são Sei lá só Veículos 100% Elétricos alguma coisa do tipo."
1680.0,3,Eu tô eu tô colocando aqui uma [UNRESOLVED_ENTITY] definir definitivamente os sonhos de combustíveis fósseis.
1689.0,2,Você conseguiu?
1690.0,4,"No mercado, né?"
1693.0,2,Você conseguiu o mercado de combustíveis fósseis inteiro?
1698.0,4,Sim aí Eu dividi né? Tem deve ser
1700.0,2,uma consideração
1702.0,4,"pesado. Mas aí tem leves e pesados, né? Porque vão considerar que diesel é só pesado, né? É uma aproximação. Mas é isso."
1714.0,2,É isso mesmo.
1714.0,4,E aí leves gasolina etanol e eu coloquei GLP também pensando no gás natural que tem uma parcelinha aí.
1725.0,3,consideramos fechado então nós é
1728.0,2,excelente Acho que dá bastante e vai ficar legal.
1734.0,3,[UNRESOLVED_ENTITY] da operação dos Testes do dos Breves da [PARTNER_A]
1741.0,1,Esse não perfeito idade para falar com as outras empresas lá aí tá? Vou ver se eu consigo falar com eles ainda essa semana. Vamos ver se eles estão de férias ou ainda não se eles não tiverem a gente consegue marcar essa semana.
1753.0,3,antes de ir [UNRESOLVED_ENTITY] alguém
1754.0,1,Eu mandei mensagem para o [UNRESOLVED_ENTITY] na sexta-feira. Perguntando se ele tá trabalhando ainda ou já não mais e ainda não respondeu. Vou explorar ele escreveu ainda hoje.
1775.0,3,"É algo para trazer. Estamos bem, né. Tem um dia bastante cheio hoje antes de curtir o Natal, né?"
1790.0,2,"Bem bom e bastante coisa andou ali, né? Concluiu. Estão indo bem."
1797.0,3,Boa vamos dar aquela olhadinha na nas eixos.
1801.0,2,vamos escolher mais importante aí para
1807.0,3,Bom e eu vou te dizer que eu acho que os mais importantes são essas últimas que a gente declarou aqui que vocês acham.
1818.0,1,Essa se quiser essa meia162 aí se quiser passar para o meu nome foi meio criada para mim mesmo.
1825.0,3,"Ah, mas aqui é isso, né? Que não tem dono."
1830.0,4,"Vai ter que colocar tudo, né?"
1834.0,3,"Vamos lá, vamos criar duas então."
1839.0,2,E daqui a pouco vocês vão começar
1842.0,3,É bem prioritário.
1845.0,1,À 62. Nem tanto mas a minha mão sim.
1848.0,3,Eu vou te dizer que eu vou dizer que
1849.0,1,em ordem
1850.0,3,"a 62 também porque para rodar os próximos mvps, a gente tem que ter mapeado, né?"
1858.0,2,"a perder detalhes aí desse aprendizado aprendizado é bom escrever o quanto antes. Então, coloca lá vira duas então."
1871.0,3,A primeira é conseguir. carregadores para utilizar no MVP com o veículo tecnogera Tá abrindo hoje. Para o Mateus e isso era meia uma meia dois isso é a 61. 61 então é tudo 44 aqui na 61. E para 62 a gente vai colocar ácido 45.
1962.0,3,preencher ficha de
1989.0,3,Então endereçadas as 61662 aumentar o score das endereçados.
2019.0,3,Vocês acham que como a gente vai ter a visita aí da [UNRESOLVED_ENTITY] e do [UNRESOLVED_ENTITY] na semana 3 Vocês acham que discutir o [UNRESOLVED_ENTITY] dos pesados é importante hoje?
2038.0,1,"A gente já falou que isso aí depende do output das conversas, né? Até porque"
2042.0,2,Eu tenho [UNRESOLVED_ENTITY] também é importante.
2047.0,3,É a gente acabou que a gente ficou com três.
2049.0,2,A primeira conversa para deixar eles interessados.
2056.0,3,"o tan Sansão a gente acabou ficando aqui com [UNRESOLVED_ENTITY] duas delas aqui estavam endereçadas, eu acho que é 58 e 59. A gente fechou porque fechou a 41."
2072.0,2,É do mercado de combustível fechou né?
2075.0,4,"Sim, sim."
2077.0,3,Então na verdade vamos aqui pegar. essa 5859 E vamos.
2085.0,2,"Daí não precisa validar isso em ver se vocês têm um outro número internamente aí. Que daí é 59, né?"
2094.0,3,É a gente criou na verdade aqui. Ó considerando.
2102.0,2,"Não é só assim, não é muito importante, mas sempre pode gerar algum milindro, né? Vocês baterem esse tan, né com o pessoal interno, né? Até para se eles têm um outro tal, né? Porque senão daqui a pouco vocês apresentam. Imagine que eles têm um outro. Que eu acho."
2124.0,3,"É a gente tem uma questão aí porque agora consegui bater esse número com pessoal interno. Eu acho difícil antes do dia 13 de Janeiro, hein que é a mesma data que chega o pessoal. Tá de férias já?"
2138.0,2,"É então, eu concluiria 58 e deixaria 59 aí para vocês. Vamos dizer a gente vai avançando. Independente de conseguir a conversa com eles, né? A gente vai utilizar os dados aí que foram conseguidos até agora os dados que o Zé conseguiu até agora nós vamos fazer tudo com ele, né? Mas em algum momento seria bom mostrar para eles, né? E deles não veja tem que considerar mais isso ou menos aquilo, né? E você dá uma acertadinha só para evitar que ele risco. Assim vocês estão lá no Pit e alguém levanta lá não mas o número nosso é outro."
2180.0,2,Entende como? Se não tiver vai ser o de vocês que vocês fizeram isso tudo talvez até eles utilizam o estudo de vocês. Se não tiver. Vamos aproveitar e ver os som aí que eu acho que eu acho que é fácil da gente esclarecer e chegar uma. Um entendimento comum aí do que que seria o próximo espaço aí.
2213.0,3,"Pega o chinelo aí, Zé?"
2225.0,2,"Não é dúvida, nós vamos utilizar combustível mercado de combustível, nós estamos no mercado."
2232.0,4,[LOCATION_A]
2236.0,2,"[LOCATION_A] É veja que se vocês conseguirem Mundial também sempre é bom mas não vai ser tão fácil assim, né? Não sei que vocês conversam com ele"
2246.0,4,então
2248.0,2,"e [LOCATION_A] já vai ser uma uma resposta boa, né? Para"
2253.0,4,"Então, eu até pensei correr atrás do dia tipo [UNRESOLVED_ENTITY] Latina, mas é começa a ficar bem difícil de agregar os dados, né de países, às"
2264.0,2,E eu teria eu teria uma resposta
2265.0,4,"vezes é mais fácil pegar o Global do que pegar o [UNRESOLVED_ENTITY]. Agora [LOCATION_A] é tudo a [UNRESOLVED_ENTITY], né? Então ele já em alguns dados é bem mais fácil. E aí eu acabei colocando. mais aproximadamente"
2285.0,2,"fácil preparada assim ó se perguntar quanto que é da [UNRESOLVED_ENTITY], né? Eu pego o PIB da [UNRESOLVED_ENTITY] Latina comparado com o PIB do [LOCATION_A] disse olha eu não sei mas pelo PIB seria. Aproximadamente isso ao [LOCATION_A] o mundo eu não sei mas olha pelo PIB o mundo é tantas vezes maior que o [LOCATION_A] né? Fazer algo parecido com isso não me preocuparia e a não ser que nas tuas pesquisas acaba encontrando, né?"
2317.0,4,beleza
2318.0,2,"Aparecendo mas não não colocaria muita energia nisso agora que também tem um pouco tempo, né? Mas vamos"
2325.0,4,sim
2325.0,2,lá então nós resolvemos.
2327.0,4,esse aqui
2328.0,2,"O que que é o [UNRESOLVED_ENTITY] é o mercado que a gente pode acessar, tá? No caso aí eu eu entendo assim, não sei vocês mas é o combustível elétrico. eletricidade Porque você tem lá no tan? Você tem todo o mercado, né? O problema é fazer uma estimativa por exemplo daqui 5 10 anos. Quanto que vai ser o mercado elétrico?"
2359.0,4,então o
2359.0,3,então
2361.0,2,"Ele é uma entendendo que ele é uma participação desse dessa projeção, né? vamos imaginar que você pegou o tanque é tantos milhões de [UNRESOLVED_ENTITY] de combustível lá, né? Você tem o equivalente a isso? Uma parte uma partezinha hoje muito pequenininha tá eletricidade ali no meio, né?"
2385.0,4,Então então.
2385.0,2,"Então teria que a unidade teria que ser toneladas equivalentes de petróleo alguma coisa assim sabe que eles unificam quando estão trabalhando com duas energias junto, né? Então você tem um tom um tan toneladas equivalente de petróleo que você a eletricidade tá ali. Bem pequenininha, vamos dizer que seja meio por cento hoje, talvez menos em 01%, Mas ela tá ali. Daí como é que a gente faz uma estimativa para dizer quanto que a eletricidade vai tomar desse mercado, né? É provavelmente eu diria assim, nunca vai ser 100% né? Então é um número entre 0 e 100."
2430.0,2,"Daí eu sei por exemplo que se eu chutar 50% eu tô no erro menor, né? Então mas esse chute de 50% era bom ter uma referência. De algum de alguém que tá estudando esse assunto que provavelmente seja lá na [UNRESOLVED_ENTITY] sabe no pessoal do planejamento. De combustível no [LOCATION_A], sabe?"
2462.0,4,Na verdade seria o mercado inteiro de combustível não só a porcentagem.
2466.0,2,"Combustível, mas eletricidade eletricidade tá ali combustível combustível incluindo é eletricidade. Teu combustível dá para entender que é o líquido, né ou o gás aí, né? Então eu chamaria assim"
2479.0,4,sim
2481.0,2,"combustível, mas eletricidade é o Daí agora nós vamos projetar ou vamos estimar quanto que a eletricidade vai vai abocanhar disso. A gente pode que nem eu disse assim, eu posso chutar 50%, que eu sei que eu tô errando menos não é 100 não é zero, né? Vai ser um número. Podia ser uma não é muito é 10 anos a 30% Então tá bom. Dificilmente você vai dizer que vai ser mais de 60% né? Então dá para a gente fazer algo desse tipo, mas se vocês fizerem algo desse tipo você mesmo que tem uma fraqueza enorme no discurso de vocês, né? A gente precisa uma outra correlação, por exemplo alguém."
2528.0,2,"Talvez esteja fazendo uma previsão do número de veículos elétricos para os próximos 10 anos. Como você tem o número de veículos total, né? Você pode dizer ó número de veículos elétricos é tanto por cento do total. Nós usamos esse tanto por cento para sair o combustível. E normalmente a gente faz isso com um ajuste de curva que é uma curva logística, não sei se vocês conhecem que ela ela é aquela curva S ela ela começa devagarinho, acelera e depois ela estabiliza, né? Ela faz assim."
2568.0,2,"Ao fazer de novo assim, acelera e depois estabiliza aqui. E daí, isso é fácil de você pegar aí na internet, a gente pega aí curva logística e a curva logística, ela funciona mais ou menos assim. Vamos dizer que eu chutei 40% lá daqui 10 anos, né? E hoje seja zero vírgula um por cento. Então no quinto ano ela tá no meio dessa curva. Tá você faz a curva e no quinto ano é esse é o meu mercado. Esse é o [UNRESOLVED_ENTITY]."
2602.0,4,[LOCATION_B]
2606.0,2,"Daí nós chegamos no céu, o que que seria o som? O som seria assim. Que mercado que vocês vão virar nos próximos quatro anos? Por exemplo, aí você definiu. Não vamos conseguir sair de [LOCATION_B] antes desses quatro anos."
2630.0,4,tá
