event_id,meeting_id,peak_second,diagnosis_group,corrected_trigger_type,corrected_trigger_subtype,corrected_smm_dimension,corrected_confidence,corrected_content_summary,corrected_justification,status
evt_129,2025.03.17startup_b,4529,gold_standard,functional_reorientation,FR_procedural,smm_roles,conf_medium,"Team navigates a chain of partner contacts for PARTNER_A/PARTNER_D outreach, then shifts to assigning letter-of-intent drafting, resolving who remembers prior document work, and discussing client prioritization strategy.","The excerpt shows sequential topic shifts — contact chain mapping, document ownership dispute (Speakers 4/5 disagree on who remembers the letter-of-intent context), and mentor reframing client vs. partner priorities — but none constitute frame disruption. The memory gap about the document is acknowledged and delegated without altering the team's approach. The mentor's prioritization advice elaborates existing direction rather than invalidating it.",ok
evt_135,2025.03.25startup_a,305,gold_standard,functional_reorientation,FR_elaboration,smm_task,conf_medium,"Team shares a One Page pitch document via chat, reviews market size in Swedish crowns (~620M), converts to dollars/reais, and transitions to discussing a meeting with an investor (Irineu) connected to multiple initiatives.","The peak at t=305s coincides with Speaker 1 asking who sent a contact and Speaker 5 attempting to share a document, triggering multi-party coordination around file sharing. The subsequent discussion elaborates existing pitch materials and market figures without revealing contradictions or forcing plan revision. The investor meeting context enriches but does not disrupt the shared frame.",ok
evt_141,2025.03.25startup_a,3677,gold_standard,functional_reorientation,FR_elaboration,smm_task,conf_high,"Team systematically reviews readiness scores across Technology, Business Model, and Team dimensions, debating whether scores have advanced (e.g., tech at 4→5, business model at 4.5, team at 3.5→4) and what evidence supports each rating.","The excerpt shows structured progress review: speakers assess numerical readiness scores dimension by dimension, citing evidence (tests, calculations, course enrollment) and negotiating whether scores have moved. No assumption is invalidated, no divergence emerges, and no new idea forces frame revision. Speaker 2's comment about needing validation before reaching level 6 enriches but does not disrupt the shared scoring framework.",ok
evt_142,2025.03.31startup_a,1004,gold_standard,functional_reorientation,FR_attention,smm_strategy,conf_medium,"Team reports two customer discovery interviews revealing concrete pain points (7k/week towing costs, grid infrastructure gaps) and a potential 6-month mobile charging service deal; mentor redirects focus toward pitch preparation.","The excerpt shows the team sequentially presenting interview findings that enrich the shared understanding of market opportunity. The mentor's reframing ('future revenue,' 'put it in the Pitch') and the shift from interview reporting to pitch prioritization constitute a meeting phase transition with procedural redirection. No prior assumption is invalidated, no divergence surfaces, and no forced revision occurs — the new data confirms rather than disrupts the existing frame.",ok
evt_147,2025.03.31startup_b,544,gold_standard,functional_reorientation,FR_elaboration,smm_strategy,conf_medium,"Speaker 1 reframes the KTH evaluation tool's purpose: not to convince investors but as internal preparation for upcoming investor meetings, shifting how the team should use it.","Speaker 1 explicitly states that KTH 'lost a bit of importance' for its original purpose (convincing Avento to invest) since Avento won't invest at this stage anyway. This reframes the tool's utility toward internal preparation. However, the team does not visibly resist or show divergent understanding — Speaker 5 and Speaker 1 converge quickly. The entropy spike likely reflects the multi-topic density: scheduling, scoring updates, and the reframing all occurring simultaneously. The reframing enriches rather than disrupts the shared frame.",ok
evt_160,2025.04.07startup_b,475,gold_standard,cognitive_perturbation,CP_invalidation,smm_strategy,conf_high,"Team reports investor Ronaldo said the project is 'too futuristic' and premature for investment now, while also encouraging them to preserve their acquired knowledge and pivot toward viable applications.","Ronaldo's feedback introduces a constraint discovery: the project is deemed ahead of its time, meaning the current investment-readiness assumption is invalidated. Simultaneously, his encouragement to find alternative applications generates evaluative tension around whether to pivot. The team then debates the 'why now?' question, acknowledging they lack a strong answer — a direct challenge to their strategic framing. Multiple overlapping threads (investor feedback, financial plan revision, pitch question) drive the entropy spike.",ok
evt_170,2025.04.14startup_a,4155,gold_standard,functional_reorientation,FR_elaboration,smm_strategy,conf_medium,"Team consolidates feedback from an external reviewer's first real presentation exposure, agreeing to clarify fast-charging equivalence messaging and reposition their brand alongside established partners in slides.","The discussion processes feedback from an external stakeholder who saw the presentation for the first time and flagged gaps (city charging clarity, fast-charge equivalence). The team integrates this input to refine messaging and slide positioning. No assumption is invalidated or contradicted — the feedback confirms known gaps and the team collectively enriches their communication approach without disrupting their strategic frame.",ok
evt_173,2025.04.14startup_a,4686,fr_to_cp_flip,functional_reorientation,FR_elaboration,smm_strategy,conf_medium,"Mentor reframes startup's positioning by highlighting mobile charging as the core differentiator, explaining how three partners (Irineu, Malária, STARTUP_A) form a complementary ecosystem serving distinct customer segments.","The discussion elaborates an existing pitch deck structure — slide design, partner positioning, customer segmentation — without revealing contradictions or forcing plan revision. Speaker 1 reinforces the mobile differentiator as already established ('vocês começaram com isso'), and the team collectively refines how to visualize the ecosystem. No divergence, invalidation, or generative tension requiring frame revision is observed; complexity arises from multi-thread elaboration across visual design, strategy, and segmentation simultaneously.",ok
evt_025,2024.11.04startup_a,2254,fr_to_cp_flip,functional_reorientation,FR_procedural,smm_strategy,conf_high,"Team systematically discards multiple external variables (EV incentives, EV sales growth, energy prices) from their risk matrix, applying a shared 'no control, no action' criterion, then pivots to adding new strategic items including MVP with a partner.","The excerpt shows coordinated pruning of a risk/scenario list using an agreed framework introduced by Speaker 1 (internal vs. external control variables). No divergence, invalidation, or forced revision occurs — members rapidly converge and extend the same logic across items 23, 17, 18. The entropy spike likely reflects simultaneous multi-item processing and the abrupt topic shift toward MVP/partner outreach at t=2370s, both of which are procedural elaboration, not frame disruption.",ok
evt_008,2024.10.25startup_a,2343,fr_to_cp_flip,cognitive_perturbation,CP_generative,smm_strategy,conf_medium,Speaker 1 reframes the chicken-and-egg dependency between securing a charging location and equipment access by proposing to 'anticipate a truth' — contacting both parties simultaneously with a near-ready claim.,"Speaker 3 surfaces a classic chicken-and-egg deadlock (t=2354 confirmed by Speaker 1), which Speaker 1 resolves by introducing a new negotiation tactic: telling both parties the solution is nearly ready to unlock parallel commitments. This is a generative idea that requires the team to evaluate whether to revise their sequential outreach approach, creating genuine evaluative tension visible in the multi-speaker overlap and Speaker 4's disorientation at t=2491.",ok
evt_090,2025.01.13startup_a,4364,fr_to_cp_flip,functional_reorientation,FR_elaboration,smm_task,conf_medium,"Speaker 1 introduces 'toneladas equivalentes de petróleo' as a standard energy equivalence unit from electricity market forecasting work, suggesting it as a methodological reference for the team's fuel comparison analysis.",Speaker 1 introduces a domain-specific methodology (TEP units from energy forecasting) that enriches the team's existing fuel equivalence approach. Speaker 3 confirms they already attempted something similar via BTU/barrel conversions. This is additive elaboration — the new concept aligns with and refines current work rather than disrupting or invalidating the existing frame. No divergence or forced revision is evident.,ok
evt_077,2024.12.23startup_a,4171,fr_to_cp_flip,functional_reorientation,FR_elaboration,smm_strategy,conf_medium,"Team integrates field interview findings—customer comfort, security, and hidden costs of public charging—into pricing and value proposition, confirming and enriching existing residential EV charging strategy.","The discussion synthesizes customer interview data (comfort, security, hidden costs like VIP parking and café spending) to reinforce rather than disrupt the existing value proposition. Speaker 2 explicitly notes 'vocês tinham colocado na no Pit' confirming continuity with prior framing. New information enriches the shared frame without invalidating assumptions or revealing divergence. The entropy spike reflects multi-speaker elaboration across several dimensions simultaneously, not a frame-disrupting event.",ok
evt_071,2024.12.16startup_b,4512,fr_to_cp_flip,functional_reorientation,FR_elaboration,smm_strategy,conf_medium,"Team debates MVP validation strategy, target customer size, and business model boundaries; mentor (Speaker 1) reframes battery reliability value proposition and questions cost-benefit of further investigation.","Speaker 1 introduces a reframing of the battery's value proposition around reliability and maintenance responsibility, and explicitly questions whether investigating that market segment is worth the cost. Speaker 3 clarifies the business model boundary (product vs. service guarantee). These contributions enrich the shared frame without invalidating a prior plan or revealing a fundamental misalignment — the team collectively processes and converges rather than diverges or revises course.",ok
evt_026,2024.11.04startup_a,2339,fr_to_cp_flip,functional_reorientation,FR_procedural,smm_strategy,conf_medium,"Team systematically discards uncontrollable external variables from their strategic framework, then pivots to discussing stalled MVP partnership with PARTNER_L and networking obstacles at PARTNER_H.","The excerpt shows two sequential FR activities: a rapid collective culling of strategic variables deemed outside the team's control (items 17, 18, energy pricing), followed by a topic switch to MVP partnership status with PARTNER_L. Speaker 3 introduces the PARTNER_L update as a progress report, not as a frame-disrupting revelation. The complexity spike likely reflects simultaneous multi-speaker convergence during the culling phase plus the abrupt topic transition, both procedural rather than cognitively disruptive.",ok
evt_023,2024.11.04startup_a,1969,fr_to_cp_flip,functional_reorientation,FR_procedural,smm_task,conf_medium,"Team navigates multiple agenda items: unresolved stakeholder contact, mentor reframes outreach strategy, then team debates discarding a risk item about EV policy incentives ending.","The peak entropy reflects rapid topic switching and overlapping voices, but each sub-discussion is routine agenda processing: reviewing a stuck stakeholder contact, receiving mentor tactical advice on framing outreach, and collectively deciding to discard an external policy risk item. The mentor's reframing suggestion enriches the approach without invalidating it. No divergence, forced revision, or assumption invalidation is evident — the team is progressing through a structured risk/assumption review.",ok
evt_064,2024.12.09startup_a,4187,fr_to_cp_flip,functional_reorientation,FR_procedural,smm_strategy,conf_medium,"Team reviews multiple backlog items (28, 36, 38, 39, 48, 52, 53, 56), deferring heavy-vehicle strategy pending external meeting, while Speaker 2 raises a partner sales-channel constraint that complicates MVP validation approach.","Speaker 2 introduces a previously unresolved constraint: a partner's sales team reportedly blocked direct selling, making the MVP validation path 'delicate.' This is not routine elaboration — it surfaces a real constraint on the current plan. However, the team quickly reframes it as manageable and moves on, suggesting the disruption is mild. The dominant activity is sequential backlog triage with deferred decisions, which is procedural reorientation.",ok
evt_130,2025.03.17startup_b,4830,fr_to_cp_flip,functional_reorientation,FR_procedural,smm_task,conf_medium,"Team navigates multiple concurrent threads: ChatGPT reliability warnings, a stalled partner contact (Francisco), task numbering errors in a shared tracker, and a fiscal benefit item being deprioritized for the sprint final.","The entropy spike reflects simultaneous topic fragmentation — ChatGPT sourcing caution, Francisco partnership status, tracker item mismatches, and fiscal research deprioritization — rather than any single frame-disrupting discovery. Each thread is processed and closed or deferred without revealing a wrong assumption or forcing plan revision. Speaker 1's 'esquece' and 'vamos conviver com isso' signal routine triage, not cognitive disruption.",ok
evt_029,2024.11.04startup_b,795,fr_to_cp_flip,functional_reorientation,FR_elaboration,smm_task,conf_medium,"Speaker 2 reveals that junkyards are legally required to photograph 49 mandatory items for the Detran website, offering a ready-made photo source for the team's catalog-building problem.",The team was discussing the difficulty of obtaining product photos from suppliers via WhatsApp. Speaker 2 introduces a regulatory constraint — junkyards must photograph 49 items for Detran — that reframes the photo acquisition problem as potentially already solved. This is new information that enriches the shared frame without invalidating the current plan; the team immediately incorporates it as a practical lead rather than revising their strategy.,ok
evt_158,2025.04.07startup_a,1719,fr_to_cp_flip,functional_reorientation,FR_elaboration,smm_strategy,conf_medium,"Team discusses adapting pitch materials for different investors (galão vs. UNRESOLVED_ENTITY), then debates whether to print a Transglobe validation email or cite it in slides, with mentor reframing credibility logic.","The excerpt shows multi-topic elaboration: refining slide content for different audiences, handling a partner validation email, and mentor commentary on audit credibility. The mentor's point about printed emails being forgeable is a new framing, but the team quickly integrates it without revising their core approach — they settle on citing the source in the slide. No assumption is invalidated and no divergence emerges; the discussion enriches the existing pitch preparation plan.",ok
evt_047,2024.11.18startup_a,823,fr_to_cp_flip,functional_reorientation,FR_attention,smm_task,conf_medium,"Team reviews multiple parallel workstreams—99 partnership, dome contact, press meeting, marketing consultant—updating statuses, deprioritizing items, and debating whether to mark tasks concluded.","The excerpt shows rapid sequential topic switching across several agenda items: the 99 opportunity, unresponsive contacts, a press alignment meeting deemed low-risk, a delayed B2B conversation pushed to January, and a marketing consultant's proposal. Each item is reviewed and either concluded or deprioritized without frame disruption. The entropy spike reflects the volume and variety of simultaneous threads, not any discovery of misalignment or invalidated assumption.",ok
evt_067,2024.12.16startup_b,977,fr_to_cp_flip,functional_reorientation,FR_elaboration,smm_strategy,conf_medium,"Team reviews scorecard metrics, discusses blocked Renova lead with bureaucratic delays, then debates splitting commercial efforts across two fronts: digital ads and direct outreach beyond social media.","The excerpt shows sequential topic transitions: scorecard review, status updates on rocks (Tainá, battery volume), a blocked Renova deal, and a strategic discussion about two commercial fronts. Speaker 4 introduces the idea of seeking rural clients outside social media, which enriches rather than disrupts the existing plan. No divergence, invalidation, or forced revision is evident — the Renova blockage was already known. The entropy spike likely reflects multiple speakers, topic switches, and overlapping turns.",ok
evt_073,2024.12.23startup_a,1723,fr_to_cp_flip,functional_reorientation,FR_procedural,smm_task,conf_medium,"Team reviews completed backlog items, resolves ambiguity about fossil fuel market size definitions, then transitions to prioritizing MVP tasks and reassigning ownership of open items.","The excerpt shows Speaker 4 raising a definitional question about market scope (Brazil vs. city-level, EV vs. all-electric vehicles), but this is quickly absorbed and closed ('consideramos fechado então'). The dominant pattern is sequential status review of completed tasks, followed by a phase transition into task prioritization and ownership assignment — no frame disruption occurs.",ok
evt_143,2025.03.31startup_a,1800,fr_to_cp_flip,functional_reorientation,FR_elaboration,smm_task,conf_medium,"Team reviews investor relationship with Ronaldo, then shifts to structured progress check across four tracks: market analysis, liveplan updates, letters of intent, and pitch materials, with unresolved question about disclosing numbers in intent letters.","The excerpt shows a meeting phase transition from investor relationship discussion to a multi-track progress review. Speaker 2 leads a structured status update across four items, with Speaker 5 and Speaker 4 confirming tracks are on course. The unresolved question about whether to include financial figures in letters of intent introduces minor internal uncertainty, but no assumption is invalidated and no frame revision is required — the team continues elaborating an existing plan.",ok
evt_014,2024.10.28startup_b,736,fr_to_cp_flip,functional_reorientation,FR_elaboration,smm_strategy,conf_medium,"Team reviews funnel metrics: 266 views but only 2-3 contacts, prompting mentor to reframe the data as a conversion rate (~0.5%) and project that 2,000 views would be needed for 30 contacts.","Speaker 1 challenges the framing of '20 interested people' by distinguishing visualizations from actual contacts. Speaker 4 reveals only 2-3 real contacts from 266 views. Speaker 2 then introduces the conversion rate concept, reframing the metric not as a failure but as a funnel with calculable implications. This enriches the team's understanding without invalidating their plan — it adds analytical structure to existing data rather than disrupting a shared assumption.",ok
evt_148,2025.03.31startup_b,970,fr_to_cp_flip,cognitive_perturbation,CP_invalidation,smm_strategy,conf_high,"Team discovers that roughly half their website visitors are bots, Indian users, or gaming traffic from ads, prompting realization that their traction metrics are inflated and their AdWords targeting is misconfigured.","Speaker 5 reveals WhatsApp messages from Indians discussing games (Free Fire), and Speaker 1 acknowledges bot click fraud, directly invalidating the assumption that ~4,000 visitors represent genuine local market traction. This forces collective reassessment of what the metric actually evidences, with Speaker 1 advising to fix AdWords targeting and reframe the data carefully for the pitch — a clear constraint discovery disrupting the shared frame around traction validity.",ok
evt_058,2024.11.18startup_b,2732,fr_to_cp_flip,cognitive_perturbation,CP_invalidation,smm_strategy,conf_high,"Team learns a competitor (Salvador Luquez's son) already built and is selling software managing auto-parts inventory across dismantlers, with 2 million parts catalogued, directly overlapping their startup concept.","Speaker 3 introduces detailed intelligence about an existing competitor whose software already does what the team is building — cataloguing parts, managing inventory, selling to dismantlers — with 2 million parts across multiple clients. This is new information that invalidates the assumption that their solution space is unoccupied, requiring the team to reassess their approach. The meeting explicitly frames this as a problem to 'identify, discuss, and solve' (Speaker 1, t=2785).",ok
evt_119,2025.03.02startup_a,3145,fr_to_cp_flip,functional_reorientation,FR_elaboration,smm_strategy,conf_medium,"Team walks through pitch deck slide by slide; Speaker 1 questions a slide's logic, prompting Speaker 4 to explain the combustion-vs-electric model, then Speaker 1 suggests refining the occupancy curve to better support the argument.","Speaker 1 explicitly states 'Eu não tô entendendo ele mesmo. Explique para mim,' revealing a comprehension gap about the slide's conceptual logic. Speaker 4 then elaborates the combustion-vs-electric distinction. Speaker 1's subsequent suggestion to adjust the occupancy curve is refinement, not frame disruption. The divergence is momentary and resolved through explanation, not requiring strategic revision.",ok
